artist,track,url
"Asiahn","Drip","https://www.youtube.com/embed/ACWH9OMrDk0?autoplay=1&start=50&end=80&controls=0"
"Sabrina Claudio","Favorite Part","https://www.youtube.com/embed/HPnygK-yUHw?autoplay=1&start=58&end=88&controls=0"
"Anime Hardstyle Club","Berserk X Legends Never Hardstyle","https://www.youtube.com/embed/z55GgzC0ybo?autoplay=1&start=32&end=62&controls=0"
"Madison Paris","Mine","https://www.youtube.com/embed/-lvMHkxdGeg?autoplay=1&start=47&end=77&controls=0"
"Conan Gray","Jigsaw","https://www.youtube.com/embed/VhhTuFfYXqk?autoplay=1&start=53&end=83&controls=0"
"Conan Gray","Boys & Girls","https://www.youtube.com/embed/4kBbn3_y9Zg?autoplay=1&start=44&end=74&controls=0"
"Chase Atlantic","OHMAMI","https://www.youtube.com/embed/mxG5UfyIYTk?autoplay=1&start=45&end=75&controls=0"
"LSD","Halleluya","https://www.youtube.com/embed/ZvgF6XZKgOY?autoplay=1&start=32&end=62&controls=0"
"Dj Bountyhunter","Woops","https://www.youtube.com/embed/yIZw-Tg5cFg?autoplay=1&start=42&end=72&controls=0"
"Chase Atlantic","Tidal Wave","https://www.youtube.com/embed/0Tgn8hR7Jpo?autoplay=1&start=57&end=87&controls=0"
"Holly Humberstone","Superbloodmoon (feat. d4vd)","https://www.youtube.com/embed/ECydxq6LUss?autoplay=1&start=35&end=65&controls=0"
"Britney Spears","Gimme More","https://www.youtube.com/embed/by9ptjL5kBU?autoplay=1&start=51&end=81&controls=0"
"Sabrina Claudio","All to You","https://www.youtube.com/embed/Tlu-_31CWfY?autoplay=1&start=34&end=64&controls=0"
"Summer Walker","Deep","https://www.youtube.com/embed/XCvAVXXPnSM?autoplay=1&start=54&end=84&controls=0"
"Mind’s Eye","tunnel of love","https://www.youtube.com/embed/qS0syT6Ohyc?autoplay=1&start=35&end=65&controls=0"
